nom,twitter,slug
Damien Abad,damienabad,damien-abad
Laurence Abeille,LaurenceAbeille,laurence-abeille
Élie Aboud,Elie_ABOUD,elie-aboud
Bernard Accoyer,BernardAccoyer,bernard-accoyer
Éric Alauzet,ericalauzet,eric-alauzet
Yves Albarello,YvesAlbarello,yves-albarello
Brigitte Allain,BrigitteAllain,brigitte-allain
Nicole Ameline,nicoleameline,nicole-ameline
Pouria Amirshahi,PouriaAmirshahi,pouria-amirshahi
Sylvie Andrieux,andrieux_sylvie,sylvie-andrieux
François André,FrancoisAndre35,francois-andre
Benoist Apparu,benoistapparu,benoist-apparu
Nathalie Appéré,nathalieappere,nathalie-appere
Christian Assaf,assaf2012,christian-assaf
Julien Aubert,JulienAubert84,julien-aubert
Olivier Audibert Troin,olivieraudibert,olivier-audibert-troin
Bruno Nestor Azerot,BNAzerot,bruno-nestor-azerot
Alexis Bachelay,ABachelay,alexis-bachelay
Guillaume Bachelay,GBachelay,guillaume-bachelay
Jean-Paul Bacquet,jpbacquet,jean-paul-bacquet
Frédéric Barbier,Fred_Barbier,frederic-barbier
Serge Bardy,bardyserge,serge-bardy
Ericka Bareigts,ebareigts,ericka-bareigts
François Baroin,francoisbaroin,francois-baroin
Claude Bartolone,claudebartolone,claude-bartolone
Philippe Baumel,philippebaumel,philippe-baumel
Laurent Baumel,laurentbaumel,laurent-baumel
Denis Baupin,Denis_Baupin,denis-baupin
Nicolas Bays,nicolasbays,nicolas-bays
Marie-Françoise Bechtel,MFBechtel,marie-francoise-bechtel
Jean-Marie Beffara,jmbeffara,jean-marie-beffara
Luc Belot,LucBELOT,luc-belot
Karine Berger,Karine_Berger,karine-berger
Sylvain Berrios,sy_berrios,sylvain-berrios
Xavier Bertrand,xavierbertrand,xavier-bertrand
Philippe Bies,PhilippeBIES,philippe-bies
Erwann Binet,erwannbinet,erwann-binet
Gisèle Biémouret,GiseleBiemouret,gisele-biemouret
Étienne Blanc,blanc_etienne,etienne-blanc
Jean-Pierre Blazy,jpblazy,jean-pierre-blazy
Jean-Luc Bleunven,JeanLucBleunven,jean-luc-bleunven
Patrick Bloche,pbloche,patrick-bloche
Pascale Boistard,Pascaleboistard,pascale-boistard
Jacques Bompard,JacquesBompard,jacques-bompard
Christophe Borgel,chborgel,christophe-borgel
Jean-Louis Borloo,JLBorloo,jean-louis-borloo
Jean-Claude Bouchet,JCBOUCHET,jean-claude-bouchet
Florent Boudié,florent_boudie,florent-boudie
